														
//用户														
[User]														
Id	username	password	JS											
81	38	收箱	24											
82	39	收箱	24											
83	36	收货	38											
84	37	收货	38											
85	38	收货	38											
86	39	收货	38											
87	36	反馈	38											
88	37	反馈	38											
89	38	反馈	38											
90	39	反馈	38											
91	40	发货	32											
92	41	发货	32											
93	42	发货	32											
94	43	发货	32											
95	40	收箱	24											
96	41	收箱	24											
97	42	收箱	24											
98	43	收箱	24											
99	40	收货	38											
100	41	收货	38											
101	42	收货	38											
102	43	收货	38											
103	40	反馈	38											
104	41	反馈	38											
105	42	反馈	38											
106	43	反馈	38											
107	44	装箱	33											
108	45	装箱	33											
109	46	装箱	33											
110	44	发货	33											
111	45	发货	33											
112	46	发货	33											
113	44	收箱	25											
114	45	收箱	25											
115	46	收箱	25											
116	44	收货	38											
117	45	收货	38											
118	46	收货	38											
119	44	反馈	38											
120	45	反馈	38											
121	46	反馈	38											
122	47	装箱	30											
123	48	装箱	30											
124	49	装箱	30											
125	47	发货	30											
126	48	发货	30											
127	49	发货	30											
128	47	收箱	26											
129	48	收箱	26											
130	49	收箱	26											
131	50	装箱	30											
132	50	发货	30											
133	50	收箱	26											
134	50	收货	26											
135	51	装箱	32											
136	52	装箱	32											
137	51	发货	32											
138	52	发货	32											
139	51	收箱	26											
140	52	收箱	26											
141	51	收货	26											
142	52	收货	26											
143	51	反馈	26											
144	52	反馈	26											
145	102	装箱	32											
146	103	装箱	32											
147	104	装箱	32											
148	102	发货	32											
149	103	发货	32											
150	104	发货	32											
151	102	收箱	26											
152	103	收箱	26											
153	104	收箱	25											
154	102	收货	38											
155	103	收货	38											
156	104	收货	26											
157	102	反馈	38											
158	103	反馈	38											
159	104	反馈	26											
160	105	入库	30											
														
//订单灯位灯片快照														
[DD_DW_DPSnapshot]														
id	DDId	DWId	DPId	CZ	CC									
1	1	8	5	100*100	铜板									
2	1	9	6	100*100	铜板									
3	1	10	7	200*100	铜板									
4	2	11	8	100*100	铜板									
5	2	12	9	100*100	铜板									
6	2	13	10	200*100	铜板									
7	2	14	11	200*100	铜板									
30	5	35	32	100*100	铜板									
31	5	36	33	100*100	铜板									
32	5	37	34	200*100	铜板									
33	5	38	35	200*100	铜板									
34	5	39	36	200*100	铜板									
35	5	40	37	200*100	铜板									
36	5	41	38	200*100	铜板									
37	5	42	39	200*100	铜板									
38	5	43	40	200*100	铜板									
42	4	46	42	200*100	铜板									
43	4	47	43	200*100	铜板									
44	4	48	44	200*100	铜板									
8	3	15	12	100*100	铜板									
9	3	16	13	100*100	铜板									
10	3	17	14	200*100	铜板									
11	3	18	15	200*100	铜板									
12	3	19	16	200*100	铜板									
13	3	20	17	200*100	铜板									
14	3	21	18	200*100	铜板									
15	3	22	19	200*100	铜板									
16	3	23	20	200*100	铜板									
17	3	24	21	200*100	铜板									
18	3	25	22	200*100	铜板									
19	3	26	23	200*100	铜板									
20	3	27	24	200*100	铜板									
21	3	28	25	200*100	铜板									
22	3	29	26	200*100	铜板									
23	3	30	27	200*100	铜板									
24	3	31	28	200*100	铜板									
25	4	32	29	100*100	铜板									
26	4	33	30	100*100	铜板									
27	4	34	31	200*100	铜板									
28	3	44	12	100*100	铜板									
29	3	45	41	100*100	铜板									
39	5	49	45	100*100	铜板									
40	5	50	46	100*100	铜板									
41	5	51	47	200*100	铜板									
														
														
//订单灯位灯片														
[DD_DW_DP]														
id	DDId	DWId	DPId	GYSId	status	ZXNumber	CZ	CC						
1	1	8	5	1	初始	0	100*100	铜板						
2	1	9	6	1	初始	0	100*100	铜板						
3	1	10	7	2	初始	0	200*100	铜板						
														
[DD_DW_DP]														
id	DDId	DWId	DPId	GYSId	status	ZXNumber	AZGSId	CZ	CC					
4	2	11	8	1	初始	0	1	100*100	铜板					
5	2	12	9	1	初始	0	1	100*100	铜板					
6	2	13	10	2	初始	0	2	200*100	铜板					
7	2	14	11	2	已分配发货供应商	0	2	200*100	铜板					
														
[DD_DW_DP]														
id	DDId	DWId	DPId	GYSId	status	ZXNumber	CZ	CC						
30	5	35	32	1	装箱完成	1	100*100	铜板						
31	5	36	33	1	装箱完成	1	100*100	铜板						
32	5	37	34	2	装箱完成	1	200*100	铜板						
33	5	38	35	2	收货	1	200*100	铜板						
34	5	39	36	2	收货	1	200*100	铜板						
35	5	40	37	2	收货	1	200*100	铜板						
36	5	41	38	2	收货	1	200*100	铜板						
37	5	42	39	2	收货	1	200*100	铜板						
38	5	43	40	2	收货	1	200*100	铜板						
42	4	46	42	2	可拍全景图	1	200*100	铜板						
43	4	47	43	2	可拍全景图	1	200*100	铜板						
44	4	48	44	2	可拍全景图	1	200*100	铜板						
														
[DD_DW_DP]														
id	DDId	DWId	DPId	GYSId	status	ZXNumber	AZGSId	AZGUserId	YJRKDate	YJZXDate	YJAZDate	CZ	CC	
8	3	15	12	1	已分配发货供应商	0	1	36	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
9	3	16	13	3	已分配发货供应商	0	1	37	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
10	3	17	14	2	装箱完成	1	1	36	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
11	3	18	15	2	装箱完成	1	1	37	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
12	3	19	16	2	装箱完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
13	3	20	17	2	装箱完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
14	3	21	18	2	装箱完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
15	3	22	19	2	装箱完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
16	3	23	20	2	收货	1	1	36	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
17	3	24	21	2	收货	1	1	37	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
18	3	25	22	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
19	3	26	23	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
20	3	27	24	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
21	3	28	25	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
22	3	29	26	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
23	3	30	27	2	收货	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
24	3	31	28	2	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
25	4	32	29	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
26	4	33	30	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
27	4	34	31	3	完成	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
28	3	44	12	1	已分配发货供应商	0	1	36	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
29	3	45	41	3	已分配发货供应商	0	1	37	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
39	5	49	45	2	可拍全景图	1	2	38	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
40	5	50	46	2	可拍全景图	1	2	38	2018-2-2	2018-2-2	2018-2-2	100*100	铜板	
41	5	51	47	2	可拍全景图	1	2	38	2018-2-2	2018-2-2	2018-2-2	200*100	铜板	
														
//灯片全景反馈图														
[DPQJFKT]														
id	imageUrl	DDId	GTId	UserId										
3	GT9_AZG3_QJT1	4	9	38										
4	GT9_AZG3_QJT2	4	9	38										
5	GT9_AZG3_QJT3	4	9	38										
														
//唯一灯片														
[WYDP]														
id	EWM	status	DPId	GYSId	DDDWDPId	KDXId								
5	{"type":"DP","typeId":14,"uuid":"14_1","DWId":17,"name":"DW3","CZ":"200*100","CC":"铜板"}	装箱	14	2	10	9								
6	{"type":"DP","typeId":15,"uuid":"15_1","DWId":18,"name":"DW4","CZ":"200*100","CC":"铜板"}	装箱	15	2	11	9								
7	{"type":"DP","typeId":16,"uuid":"16_1","DWId":19,"name":"DW5","CZ":"200*100","CC":"铜板"}	装箱	16	2	12	9								
8	{"type":"DP","typeId":17,"uuid":"17_1","DWId":20,"name":"DW6","CZ":"200*100","CC":"铜板"}	发货	17	2	13	10								
9	{"type":"DP","typeId":18,"uuid":"18_1","DWId":21,"name":"DW7","CZ":"200*100","CC":"铜板"}	收箱	18	2	14	11								
10	{"type":"DP","typeId":19,"uuid":"19_1","DWId":22,"name":"DW8","CZ":"200*100","CC":"铜板"}	收箱	19	2	15	11								
11	{"type":"DP","typeId":20,"uuid":"20_1","DWId":23,"name":"DW9","CZ":"200*100","CC":"铜板"}	收货	20	2	16	12								
12	{"type":"DP","typeId":21,"uuid":"21_1","DWId":24,"name":"DW10","CZ":"200*100","CC":"铜板"}	收货	21	2	17	12								
13	{"type":"DP","typeId":22,"uuid":"22_1","DWId":25,"name":"DW11","CZ":"200*100","CC":"铜板"}	收货	22	2	18	12								
23	{"type":"DP","typeId":32,"uuid":"32_1","DWId":35,"name":"DW1","CZ":"100*100","CC":"铜板"}	收箱	32	1	30	21								
24	{"type":"DP","typeId":33,"uuid":"33_1","DWId":36,"name":"DW2","CZ":"100*100","CC":"铜板"}	收箱	33	1	31	21								
25	{"type":"DP","typeId":34,"uuid":"34_1","DWId":37,"name":"DW3","CZ":"200*100","CC":"铜板"}	收箱	34	2	32	18								
26	{"type":"DP","typeId":35,"uuid":"35_1","DWId":38,"name":"DW4","CZ":"200*100","CC":"铜板"}	收货	35	2	33	18								
27	{"type":"DP","typeId":36,"uuid":"36_1","DWId":39,"name":"DW5","CZ":"200*100","CC":"铜板"}	收货	36	2	34	18								
28	{"type":"DP","typeId":37,"uuid":"37_1","DWId":40,"name":"DW6","CZ":"200*100","CC":"铜板"}	收货	37	2	35	18								
														
[WYDP]														
id	EWM	status	DPId	GYSId	DDDWDPId	KDXId	AZFKType	imageUrl						
14	{"type":"DP","typeId":23,"uuid":"23_1","DWId":26,"name":"DW12","CZ":"200*100","CC":"铜板"}	反馈	23	2	19	13	安装成功	imageUrlDP23						
15	{"type":"DP","typeId":24,"uuid":"24_1","DWId":27,"name":"DW13","CZ":"200*100","CC":"铜板"}	反馈	24	2	20	13	安装成功	imageUrlDP24						
16	{"type":"DP","typeId":25,"uuid":"25_1","DWId":28,"name":"DW14","CZ":"200*100","CC":"铜板"}	反馈	25	2	21	13	安装成功	imageUrlDP25						
17	{"type":"DP","typeId":26,"uuid":"26_1","DWId":29,"name":"DW15","CZ":"200*100","CC":"铜板"}	反馈	26	2	22	14	安装成功	imageUrlDP26						
18	{"type":"DP","typeId":27,"uuid":"27_1","DWId":30,"name":"DW16","CZ":"200*100","CC":"铜板"}	反馈	27	2	23	14	安装成功	imageUrlDP27						
19	{"type":"DP","typeId":28,"uuid":"28_1","DWId":31,"name":"DW17","CZ":"200*100","CC":"铜板"}	反馈	28	2	24	14	丢失	imageUrlDP28						
20	{"type":"DP","typeId":29,"uuid":"29_1","DWId":32,"name":"DW1","CZ":"100*100","CC":"铜板"}	反馈	29	3	25	15	丢失	imageUrlDP29						
21	{"type":"DP","typeId":30,"uuid":"30_1","DWId":33,"name":"DW2","CZ":"100*100","CC":"铜板"}	反馈	30	3	26	15	丢失	imageUrlDP30						
22	{"type":"DP","typeId":31,"uuid":"31_1","DWId":34,"name":"DW3","CZ":"200*100","CC":"铜板"}	反馈	31	3	27	15	丢失	imageUrlDP31						
29	{"type":"DP","typeId":38,"uuid":"38_1","DWId":41,"name":"DW7","CZ":"200*100","CC":"铜板"}	反馈	38	2	36	19	安装成功	imageUrlDP38						
30	{"type":"DP","typeId":39,"uuid":"39_1","DWId":42,"name":"DW8","CZ":"200*100","CC":"铜板"}	反馈	39	2	37	19	安装成功	imageUrlDP39						
31	{"type":"DP","typeId":40,"uuid":"40_1","DWId":43,"name":"DW9","CZ":"200*100","CC":"铜板"}	反馈	40	2	38	19	安装成功	imageUrlDP40						
81	{"type":"DP","typeId":45,"uuid":"45_1","DWId":49,"name":"DW10","CZ":"100*100","CC":"铜板"}	反馈	45	2	39	55	安装成功	imageUrlDP45						
82	{"type":"DP","typeId":46,"uuid":"46_1","DWId":50,"name":"DW11","CZ":"100*100","CC":"铜板"}	反馈	46	2	40	55	安装成功	imageUrlDP46						
83	{"type":"DP","typeId":47,"uuid":"47_1","DWId":51,"name":"DW12","CZ":"200*100","CC":"铜板"}	反馈	47	2	41	55	安装成功	imageUrlDP47						
84	{"type":"DP","typeId":48,"uuid":"48_1","DWId":46,"name":"DW4","CZ":"100*100","CC":"铜板"}	反馈	42	2	42	54	安装成功	imageUrlDP42						
85	{"type":"DP","typeId":49,"uuid":"49_1","DWId":47,"name":"DW5","CZ":"100*100","CC":"铜板"}	反馈	43	2	43	54	安装成功	imageUrlDP43						
86	{"type":"DP","typeId":50,"uuid":"50_1","DWId":48,"name":"DW6","CZ":"200*100","CC":"铜板"}	反馈	44	2	44	54	安装成功	imageUrlDP44						
														
														
//唯一灯片状态														
[WYDPCZ]														
id	WYDPId	status	UserId											
6	5	装箱	32											
7	6	装箱	32											
8	7	装箱	32											
9	8	装箱	32											
10	8	发货	32											
11	9	装箱	32											
12	10	装箱	32											
13	9	发货	32											
14	10	发货	32											
15	9	收箱	24											
16	10	收箱	24											
17	11	装箱	32											
18	12	装箱	32											
19	13	装箱	32											
20	14	装箱	32											
21	15	装箱	32											
22	16	装箱	32											
23	11	发货	32											
24	12	发货	32											
25	13	发货	32											
26	14	发货	32											
27	15	发货	32											
28	16	发货	32											
29	11	收箱	24											
30	12	收箱	24											
31	13	收箱	24											
32	14	收箱	24											
33	15	收箱	24											
34	16	收箱	24											
35	11	收货	36											
36	12	收货	37											
37	13	收货	38											
38	14	收货	38											
39	15	收货	38											
40	16	收货	38											
41	14	反馈	38											
42	15	反馈	38											
43	16	反馈	38											
44	17	装箱	32											
45	18	装箱	32											
46	19	装箱	32											
47	17	发货	32											
48	18	发货	32											
49	19	发货	32											
50	17	收箱	32											
51	18	收箱	32											
52	19	收箱	32											
53	17	收货	38											
54	18	收货	38											
55	19	收货	38											
56	17	反馈	38											
57	18	反馈	38											
58	19	反馈	38											
59	20	装箱	33											
60	21	装箱	33											
61	22	装箱	33											
62	20	发货	33											
63	21	发货	33											
64	22	发货	33											
65	20	收箱	25											
66	21	收箱	25											
67	22	收箱	25											
68	20	收货	38											
69	21	收货	38											
70	22	收货	38											
71	20	反馈	38											
72	21	反馈	38											
73	22	反馈	38											
74	23	装箱	30											
75	24	装箱	30											
76	25	装箱	32											
77	23	发货	30											
78	24	发货	30											
79	25	发货	32											
80	23	收箱	26											
81	24	收箱	26											
82	25	收箱	26											
83	26	装箱	32											
84	27	装箱	32											
85	28	装箱	32											
86	26	发货	32											
87	27	发货	32											
88	28	发货	32											
89	26	收箱	26											
90	27	收箱	26											
91	28	收箱	26											
92	26	收货	26											
93	27	收货	26											
94	28	收货	26											
95	29	装箱	32											
96	30	装箱	32											
97	31	装箱	32											
98	29	发货	32											
99	30	发货	32											
100	31	发货	32											
101	29	收箱	26											
102	30	收箱	26											
103	31	收箱	26											
104	29	收货	26											
105	30	收货	26											
106	31	收货	26											
107	29	反馈	26											
108	30	反馈	26											
109	31	反馈	26											
110	81	装箱	32											
111	82	装箱	32											
112	83	装箱	32											
113	84	装箱	32											
114	85	装箱	32											
115	86	装箱	32											
116	81	发货	32											
117	82	发货	32											
118	83	发货	32											
119	84	发货	32											
120	85	发货	32											
121	86	发货	32											
122	81	收箱	26											
123	82	收箱	26											
124	83	收箱	26											
125	84	收箱	25											
126	85	收箱	25											
127	86	收箱	25											
128	81	收货	38											
129	82	收货	38											
130	83	收货	38											
131	84	收货	26											
132	85	收货	26											
133	86	收货	26											
134	81	反馈	38											
135	82	反馈	38											
136	83	反馈	38											
137	84	反馈	26											
138	85	反馈	26											
139	86	反馈	26											
														
//柜台翻新														
[PP_GTFX]														
PPId	GTId													
2	6													
														
//物料补货														
[WLBH]														
id	GTId	WLId	status	GYSId	ZXNumber	imageUrl								
1	8	14	初始	1	0	imagUrl								
2	8	14	客服经理审批通过	1	0	imagUrl								
3	8	14	驳回	1	0	imagUrl								
4	7	10	初始	1	0	imagUrl								
5	7	10	客服经理审批通过	1	0	imagUrl								
6	7	10	驳回	1	0	imagUrl								
														
[WLBH]														
id	GTId	WLId	status	GYSId	ZXNumber	imageUrl	AZGSId							
7	8	14	客服经理审批通过	1	0	imagUrl	1							
8	7	10	通过	1	0	imagUrl	1							
72	7	10	通过	1	0	imagUrl	1							
														
[WLBH]														
id	GTId	WLId	status	GYSId	ZXNumber	imageUrl	AZGSId	AZGUserId	YJZXTime					
9	8	14	已分配发货供应商	1	0	imagUrl	1	36	2018-10-10					
10	8	14	装箱完成	1	1	imagUrl	2	38	2018-01-01					
11	8	14	装箱完成	1	1	imagUrl	2	38	2018-01-03					
12	8	14	装箱完成	1	1	imagUrl	2	38	2018-01-02					
13	8	14	收货	1	1	imagUrl	2	38	2018-01-02					
14	8	14	可拍全景图	1	1	imagUrl	2	38	2018-01-02					
15	8	14	可拍全景图	1	1	imagUrl	2	38	2018-01-02					
16	8	14	完成	1	1	imagUrl	2	38	2018-01-02					
17	7	10	已分配发货供应商	1	0	imagUrl	2	38	2018-10-10					
18	7	10	装箱完成	1	1	imagUrl	2	38	2018-01-04					
19	7	10	装箱完成	1	1	imagUrl	2	38	2018-01-05					
20	7	10	装箱完成	1	1	imagUrl	2	38	2018-01-06					
21	7	10	收货	1	1	imagUrl	2	38	2018-01-06					
22	7	10	可拍全景图	1	1	imagUrl	2	38	2018-01-06					
23	7	10	可拍全景图	1	1	imagUrl	2	38	2018-01-06					
24	7	10	完成	1	1	imagUrl	2	38	2018-01-06					
														
[WLBH]														
id	GTId	WLId	DDId	status	GYSId	ZXNumber	imageUrl							
25	7	10	2	初始	1	0	imagUrl							
26	7	10	2	客服经理审批通过	1	0	imagUrl							
27	7	10	2	驳回	1	0	imagUrl							
28	8	16	3	初始	2	0	imagUrl							
29	8	16	3	客服经理审批通过	2	0	imagUrl							
30	8	16	3	驳回	2	0	imagUrl							
														
[WLBH]														
id	GTId	WLId	DDId	status	GYSId	ZXNumber	imageUrl	AZGSId						
31	7	10	2	客服经理审批通过	1	0	imagUrl	1						
32	8	16	3	通过	2	0	imagUrl	1						
73	8	16	3	通过	2	0	imagUrl	1						
														
[WLBH]														
id	GTId	WLId	DDId	status	GYSId	ZXNumber	imageUrl	AZGSId	AZGUserId	note	KFJLNote	PPJLNote	YJZXTime	
33	7	10	2	已分配发货供应商	1	0	imagUrl	1	36	货物损坏	同意	同意	2018-10-10	
34	7	10	2	已分配发货供应商	1	0	imagUrl	1	37	货物损坏	同意	同意	2018-10-10	
35	7	10	2	已分配发货供应商	3	0	imagUrl	2	38	货物损坏	同意	同意	2018-10-10	
36	7	10	2	已分配发货供应商	3	0	imagUrl	2	38	货物损坏	同意	同意	2018-10-10	
37	7	10	2	装箱完成	1	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-04	
38	7	10	2	装箱完成	1	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-04	
39	7	10	2	装箱完成	3	1	imagUrl	1	38	货物损坏	同意	同意	2018-01-07	
40	7	10	2	装箱完成	1	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-05	
41	7	10	2	装箱完成	1	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-05	
42	7	10	2	装箱完成	3	1	imagUrl	1	38	货物损坏	同意	同意	2018-01-08	
43	7	10	2	装箱完成	1	1	imagUrl	2	36	货物损坏	同意	同意	2018-01-06	
44	7	10	2	装箱完成	1	1	imagUrl	2	37	货物损坏	同意	同意	2018-01-06	
45	7	10	2	装箱完成	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-10	
46	7	10	2	收货	1	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-06	
47	7	10	2	收货	1	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-06	
48	7	10	2	收货	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-17	
49	7	10	2	可拍全景图	1	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-06	
50	7	10	2	可拍全景图	1	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-06	
51	7	10	2	可拍全景图	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-17	
52	7	10	2	完成	1	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-06	
53	8	16	3	已分配发货供应商	2	0	imagUrl	1	36	货物损坏	同意	同意	2018-10-10	
54	8	16	3	已分配发货供应商	2	0	imagUrl	1	37	货物损坏	同意	同意	2018-10-10	
55	8	16	3	已分配发货供应商	3	0	imagUrl	2	38	货物损坏	同意	同意	2018-10-10	
56	8	16	3	装箱完成	2	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-11	
57	8	16	3	装箱完成	2	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-11	
58	8	16	3	装箱完成	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-14	
59	8	16	3	装箱完成	2	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-12	
60	8	16	3	装箱完成	2	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-12	
61	8	16	3	装箱完成	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-15	
62	8	16	3	装箱完成	2	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-13	
63	8	16	3	装箱完成	2	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-13	
64	8	16	3	装箱完成	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-13	
65	8	16	3	收货	2	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-13	
66	8	16	3	收货	2	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-13	
67	8	16	3	收货	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-16	
68	8	16	3	可拍全景图	2	1	imagUrl	1	36	货物损坏	同意	同意	2018-01-13	
69	8	16	3	可拍全景图	2	1	imagUrl	1	37	货物损坏	同意	同意	2018-01-13	
70	8	16	3	可拍全景图	3	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-16	
71	8	16	3	完成	2	1	imagUrl	2	38	货物损坏	同意	同意	2018-01-13	
														
//唯一物料														
[WYWL]														
id	EWM	status	WLId	GYSId										
53	{"type":"WL","typeId":10,"uuid":"B10_1"}	入库	10	3										
54	{"type":"WL","typeId":16,"uuid":"B16_1"}	入库	16	3										
55	{"type":"WL","typeId":14,"uuid":"B14_1"}	入库	14	1										
														
[WYWL]														
id	EWM	status	WLId	GYSId	WLBHId	KDXId								
56	{"type":"WL","typeId":14,"uuid":"B14_2"}	装箱	14	1	10	22								
57	{"type":"WL","typeId":14,"uuid":"B14_3"}	发货	14	1	11	23								
58	{"type":"WL","typeId":14,"uuid":"B14_4"}	收箱	14	1	12	24								
59	{"type":"WL","typeId":14,"uuid":"B14_5"}	收货	14	1	13	24								
60	{"type":"WL","typeId":10,"uuid":"B10_2"}	装箱	10	1	18	25								
61	{"type":"WL","typeId":10,"uuid":"B10_3"}	发货	10	1	19	26								
62	{"type":"WL","typeId":10,"uuid":"B10_4"}	收箱	10	1	20	27								
63	{"type":"WL","typeId":10,"uuid":"B10_5"}	收货	10	1	21	27								
64	{"type":"WL","typeId":10,"uuid":"B10_9"}	装箱	10	1	37	25								
65	{"type":"WL","typeId":10,"uuid":"B10_10"}	装箱	10	1	38	25								
66	{"type":"WL","typeId":10,"uuid":"B10_11"}	装箱	10	3	39	28								
67	{"type":"WL","typeId":10,"uuid":"B10_12"}	发货	10	1	40	26								
68	{"type":"WL","typeId":10,"uuid":"B10_13"}	发货	10	1	41	26								
69	{"type":"WL","typeId":10,"uuid":"B10_14"}	发货	10	3	42	29								
70	{"type":"WL","typeId":10,"uuid":"B10_15"}	收箱	10	1	43	27								
71	{"type":"WL","typeId":10,"uuid":"B10_16"}	收箱	10	1	44	27								
72	{"type":"WL","typeId":10,"uuid":"B10_17"}	收箱	10	3	45	30								
73	{"type":"WL","typeId":10,"uuid":"B10_18"}	收货	10	1	46	27								
74	{"type":"WL","typeId":10,"uuid":"B10_19"}	收货	10	1	47	27								
75	{"type":"WL","typeId":10,"uuid":"B10_20"}	收货	10	3	48	30								
76	{"type":"WL","typeId":16,"uuid":"B16_2"}	装箱	16	2	56	31								
77	{"type":"WL","typeId":16,"uuid":"B16_3"}	装箱	16	2	57	31								
78	{"type":"WL","typeId":16,"uuid":"B16_4"}	装箱	16	3	58	34								
79	{"type":"WL","typeId":16,"uuid":"B16_5"}	发货	16	2	59	32								
80	{"type":"WL","typeId":16,"uuid":"B16_6"}	发货	16	2	60	32								
81	{"type":"WL","typeId":16,"uuid":"B16_7"}	发货	16	3	61	35								
82	{"type":"WL","typeId":16,"uuid":"B16_8"}	收箱	16	2	62	33								
83	{"type":"WL","typeId":16,"uuid":"B16_9"}	收箱	16	2	63	33								
84	{"type":"WL","typeId":16,"uuid":"B16_10"}	收箱	16	3	64	33								
85	{"type":"WL","typeId":16,"uuid":"B16_11"}	收货	16	2	65	33								
86	{"type":"WL","typeId":16,"uuid":"B16_12"}	收货	16	2	66	33								
87	{"type":"WL","typeId":16,"uuid":"B16_13"}	收货	16	3	67	36								
														
[WYWL]														
id	EWM	status	WLId	GYSId	WLBHId	KDXId	AZFKType	imageUrl						
88	{"type":"WL","typeId":14,"uuid":"B14_6"}	反馈	14	1	14	24	安装成功	imageUrl						
89	{"type":"WL","typeId":14,"uuid":"B14_7"}	反馈	14	1	15	24	丢失	imageUrl						
90	{"type":"WL","typeId":14,"uuid":"B14_8"}	反馈	14	1	16	24	安装成功	imageUrl						
91	{"type":"WL","typeId":10,"uuid":"B10_6"}	反馈	10	1	22	27	安装成功	imageUrl						
92	{"type":"WL","typeId":10,"uuid":"B10_7"}	反馈	10	1	23	27	丢失	imageUrl						
93	{"type":"WL","typeId":10,"uuid":"B10_8"}	反馈	10	1	24	27	安装成功	imageUrl						
94	{"type":"WL","typeId":10,"uuid":"B10_21"}	反馈	10	1	49	27	安装成功	imageUrl						
95	{"type":"WL","typeId":10,"uuid":"B10_22"}	反馈	10	1	50	27	安装成功	imageUrl						
96	{"type":"WL","typeId":10,"uuid":"B10_23"}	反馈	10	3	51	30	安装成功	imageUrl						
97	{"type":"WL","typeId":10,"uuid":"B10_24"}	反馈	10	1	52	27	安装成功	imageUrl						
98	{"type":"WL","typeId":16,"uuid":"B16_14"}	反馈	16	2	68	33	安装成功	imageUrl						
99	{"type":"WL","typeId":16,"uuid":"B16_15"}	反馈	16	2	69	33	安装成功	imageUrl						
100	{"type":"WL","typeId":16,"uuid":"B16_16"}	反馈	16	3	70	36	安装成功	imageUrl						
101	{"type":"WL","typeId":16,"uuid":"B16_17"}	反馈	16	2	71	33	安装成功	imageUrl						
														
														
//灯片补货														
[DPBH]														
id	DWId	DPId	status	GYSId	ZXNumber	imageUrl								
1	15	12	初始	1	0	imageUrl								
2	15	12	客服经理审批通过	1	0	imageUrl								
3	15	12	驳回	1	0	imageUrl								
4	11	8	初始	1	0	imageUrl								
5	11	8	客服经理审批通过	1	0	imageUrl								
6	11	8	驳回	1	0	imageUrl								
														
[DPBH]														
id	DWId	DPId	status	GYSId	ZXNumber	imageUrl	AZGSId							
7	15	12	客服经理审批通过	1	0	imageUrl	1							
8	11	8	通过	1	0	imageUrl	1							
														
[DPBH]														
id	DWId	DPId	status	GYSId	ZXNumber	imageUrl	AZGSId	AZGUserId	YJZXTime					
9	15	12	已分配发货供应商	1	0	imagUrl	1	36	2018-10-10					
10	15	12	装箱完成	1	1	imagUrl	2	38	2018-01-01					
11	15	12	装箱完成	1	1	imagUrl	2	38	2018-01-03					
12	15	12	装箱完成	1	1	imagUrl	2	38	2018-01-02					
